id path model viewthresh viewmode iter Egr Mgr Rep Swi Adh Act Inh Sec Da Di Ds Int Set Boy Dff Bgr Abi Pbi Lbi Bbi Rad Deg Dgr Ntr Bwi Ina uMgr faulty
1 exports_example/example_scan_1/screenshots/ToothMaker_5200_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0235 200.0 1.0 0.0 0.001 0.38 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
2 exports_example/example_scan_1/screenshots/ToothMaker_0900_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.017 200.0 1.0 0.0 0.001 1.01 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
3 exports_example/example_scan_1/screenshots/ToothMaker_3700_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0209 200.0 1.0 0.0 0.001 0.83 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
4 exports_example/example_scan_1/screenshots/ToothMaker_10600_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.03 200.0 1.0 0.0 0.001 0.74 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
5 exports_example/example_scan_1/screenshots/ToothMaker_1600_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0183 200.0 1.0 0.0 0.001 0.74 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
6 exports_example/example_scan_1/screenshots/ToothMaker_2800_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0196 200.0 1.0 0.0 0.001 0.92 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
7 exports_example/example_scan_1/screenshots/ToothMaker_9500_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0287 200.0 1.0 0.0 0.001 0.65 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
8 exports_example/example_scan_1/screenshots/ToothMaker_7300_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0261 200.0 1.0 0.0 0.001 0.47 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
9 exports_example/example_scan_1/screenshots/ToothMaker_0200_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.017 200.0 1.0 0.0 0.001 0.38 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
10 exports_example/example_scan_1/screenshots/ToothMaker_61000_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0248 200.0 1.0 0.0 0.001 1.1 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
11 exports_example/example_scan_1/screenshots/ToothMaker_5900_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0235 200.0 1.0 0.0 0.001 1.01 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
12 exports_example/example_scan_1/screenshots/ToothMaker_6700_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0248 200.0 1.0 0.0 0.001 0.83 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
13 exports_example/example_scan_1/screenshots/ToothMaker_8100_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0274 200.0 1.0 0.0 0.001 0.29 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
14 exports_example/example_scan_1/screenshots/ToothMaker_4600_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0222 200.0 1.0 0.0 0.001 0.74 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
15 exports_example/example_scan_1/screenshots/ToothMaker_7800_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0261 200.0 1.0 0.0 0.001 0.92 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
16 exports_example/example_scan_1/screenshots/ToothMaker_2300_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0196 200.0 1.0 0.0 0.001 0.47 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
17 exports_example/example_scan_1/screenshots/ToothMaker_4200_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0222 200.0 1.0 0.0 0.001 0.38 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
18 exports_example/example_scan_1/screenshots/ToothMaker_2700_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0196 200.0 1.0 0.0 0.001 0.83 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
19 exports_example/example_scan_1/screenshots/ToothMaker_1900_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0183 200.0 1.0 0.0 0.001 1.01 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
20 exports_example/example_scan_1/screenshots/ToothMaker_10900_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.03 200.0 1.0 0.0 0.001 1.01 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
21 exports_example/example_scan_1/screenshots/ToothMaker_51000_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0235 200.0 1.0 0.0 0.001 1.1 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
